,Name,Brand,Model,Battery capacity (mAh),RAM (MB),Internal storage (GB),Rear camera,Front camera,Number of SIMs,4G/ LTE,Price
94,Oppo F3 Plus,Oppo,F3 Plus,4000,4000,64,16,16,2,Yes,13990
95,Samsung Galaxy C7 Pro,Samsung,Galaxy C7 Pro,3300,4000,64,16,16,2,Yes,16999
737,Tecno Camon i4,Tecno,Camon i4,3500,2000,32,13,16,2,Yes,6933
96,HTC U Play,HTC,U Play,2500,4000,64,16,16,2,Yes,15500
97,Oppo F9,Oppo,F9,3500,4000,64,16,16,2,Yes,11994
740,Tecno i7,Tecno,i7,4000,4000,32,13,16,2,Yes,8966
98,Samsung Galaxy J8,Samsung,Galaxy J8,3500,4000,64,16,16,2,Yes,15499
99,Panasonic Eluga X1,Panasonic,Eluga X1,3000,4000,64,16,16,2,Yes,8899
100,Samsung Galaxy On8 (2018),Samsung,Galaxy On8 (2018),3500,4000,64,16,16,2,Yes,19990
746,Gionee S10 Lite,Gionee,S10 Lite,3100,4000,32,13,16,2,Yes,6290
101,Vivo V5 Plus,Vivo,V5 Plus,3055,4000,64,16,20,2,Yes,12500
748,Gionee X1s,Gionee,X1s,4000,3000,16,13,16,2,Yes,5699
102,Asus ZenFone 4 Selfie DC (ZD553KL),Asus,ZenFone 4 Selfie DC (ZD553KL),3000,4000,64,16,20,2,Yes,6998
103,Samsung Galaxy A6+,Samsung,Galaxy A6+,3500,4000,64,16,24,1,No,15999
104,Huawei P20 Lite,Huawei,P20 Lite,3000,4000,64,16,24,2,Yes,12800
105,Vivo V9,Vivo,V9,3260,4000,64,16,24,2,Yes,13740
106,Vivo V7+,Vivo,V7+,3225,4000,64,16,24,2,Yes,10990
107,Oppo K1,Oppo,K1,3600,4000,64,16,25,1,No,9990
108,Realme 3 Pro,Realme,3 Pro,4045,4000,64,16,25,2,Yes,13999
109,Oppo F7,Oppo,F7,3400,4000,64,16,25,2,Yes,18990
110,Vivo Z1 Pro,Vivo,Z1 Pro,5000,4000,64,16,32,2,Yes,12990
111,OnePlus 3,OnePlus,3,3000,6000,64,16,8,2,Yes,22999
112,Google Pixel 4 XL,Google,Pixel 4 XL,3700,6000,64,16,8,2,Yes,83900
113,Google Pixel 4,Google,Pixel 4,2800,6000,64,16,8,2,Yes,69500
114,Nubia Z11,Nubia,Z11,3000,6000,64,16,8,2,Yes,20999
115,Samsung Galaxy A8+ (2018),Samsung,Galaxy A8+ (2018),3500,6000,64,16,16,1,No,16900
116,Oppo K3,Oppo,K3,3765,6000,64,16,16,2,Yes,23990
117,OnePlus 6,OnePlus,6,3300,6000,64,16,16,2,Yes,34999
118,OnePlus 3T,OnePlus,3T,3400,6000,64,16,16,2,Yes,19999
119,Samsung Galaxy C9 Pro,Samsung,Galaxy C9 Pro,4000,6000,64,16,16,2,Yes,16999
120,OnePlus 5T,OnePlus,5T,3300,6000,64,16,16,2,Yes,28499
121,OnePlus 5,OnePlus,5,3300,6000,64,16,16,2,Yes,17499
122,Samsung Galaxy A8 Star,Samsung,Galaxy A8 Star,3700,6000,64,16,24,2,No,20800
123,Oppo F9 Pro,Oppo,F9 Pro,3500,6000,64,16,25,2,Yes,17990
124,Vivo V11,Vivo,V11,3315,6000,64,16,25,2,Yes,14229
125,LG G5,LG,G5,2800,4000,32,16,8,2,Yes,10999
126,Honor 7X,Honor,7X,3340,4000,32,16,8,2,Yes,12722
853,Infinix S5 Lite,Infinix,S5 Lite,4000,4000,64,16,16,2,Yes,8999
127,Panasonic Eluga Ray Max,Panasonic,Eluga Ray Max,3000,4000,32,16,8,2,Yes,11499
128,Samsung Galaxy A9 Pro,Samsung,Galaxy A9 Pro,5000,4000,32,16,8,2,Yes,19980
129,Asus ZenFone 4 Selfie,Asus,ZenFone 4 Selfie,3000,4000,32,16,12,1,Yes,6449
130,Samsung Galaxy A6,Samsung,Galaxy A6,3000,4000,32,16,16,1,No,12999
131,Nokia X6,Nokia,X6,3060,4000,32,16,16,2,Yes,6999
132,Vivo V9 Youth,Vivo,V9 Youth,3260,4000,32,16,16,2,Yes,8990
133,Oppo F5,Oppo,F5,3200,4000,32,16,20,2,Yes,10499
134,Vivo Z10,Vivo,Z10,3225,4000,32,16,24,1,No,7994
135,Vivo V7,Vivo,V7,3000,4000,32,16,24,2,Yes,13990
